Flight Number,From City,To City,Airline,Flight Status,Passengers,Economy Class,Business Class,First Class,Departure Time,Arrival Time
TG0000,Chiang Rai,Phuket,Porsche Air,Delayed,148,1484,3130,9005,22/12/2024 11:03:00,22/12/2024 11:49:00
TG0001,Chiang Mai,Bangkok,PhraoAirAsia,Delayed,136,1359,2595,8302,12/01/2025 09:53:00,12/01/2025 11:16:00
TG0002,Chiang Rai,Koh Samui,Thai Meow Air,Delayed,138,1429,2754,9072,19/12/2024 16:33:00,19/12/2024 18:20:00
TG0004,Phuket,Chiang Rai,Thai Meow Air,On Time,106,992,3440,9857,21/01/2025 08:48:00,21/01/2025 09:59:00
TG0005,Hat Yai,Koh Samui,MJ Airways,Delayed,158,1159,2919,8461,24/01/2025 17:56:00,24/01/2025 18:37:00
TG0006,Surat Thani,Chiang Rai,kaningpom jet,Delayed,99,809,2324,7627,25/12/2024 01:12:00,25/12/2024 03:02:00
TG0007,Udon Thani,Krabi,PhraoAirAsia,Cancelled,73,1077,3439,11026,15/12/2024 00:40:00,15/12/2024 02:32:00
TG0008,Hat Yai,Bangkok,MJ Airways,On Time,172,1399,2662,7010,29/01/2025 01:49:00,29/01/2025 03:25:00
TG0009,Bangkok,Koh Samui,Thai Meow Air,Delayed,113,870,2079,7252,03/12/2024 13:50:00,03/12/2024 14:32:00
TG0010,Nakhon Ratchasima,Koh Samui,Porsche Air,Cancelled,104,1272,2083,7211,23/01/2025 03:59:00,23/01/2025 04:57:00
TG0011,Udon Thani,Bangkok,Porsche Air,Cancelled,153,1400,4831,11141,28/12/2024 04:26:00,28/12/2024 05:14:00
TG0012,Chiang Rai,Bangkok,Thai Meow Air,Cancelled,77,1196,4867,10159,06/01/2025 04:11:00,06/01/2025 06:00:00
TG0013,Chiang Rai,Chiang Mai,Porsche Air,Cancelled,132,1114,4733,11854,02/12/2024 05:53:00,02/12/2024 06:52:00
TG0014,Koh Samui,Bangkok,MJ Airways,Cancelled,187,1286,3034,7637,17/01/2025 03:43:00,17/01/2025 05:06:00
TG0015,Surat Thani,Krabi,Thai Meow Air,Delayed,118,1351,3524,7743,24/01/2025 09:21:00,24/01/2025 10:44:00
TG0016,Krabi,Chiang Mai,Porsche Air,Delayed,128,887,3641,8945,11/12/2024 10:11:00,11/12/2024 10:47:00
TG0018,Chiang Mai,Koh Samui,PhraoAirAsia,Cancelled,131,974,2848,9049,19/12/2024 02:32:00,19/12/2024 03:48:00
TG0019,Surat Thani,Chiang Rai,MJ Airways,Delayed,188,1400,4069,7773,17/12/2024 21:51:00,17/12/2024 23:23:00
TG0020,Krabi,Phuket,PhraoAirAsia,Delayed,87,1477,3731,7260,16/01/2025 05:03:00,16/01/2025 07:02:00
TG0021,Udon Thani,Bangkok,Thai Meow Air,Delayed,150,1337,3360,7973,18/01/2025 04:07:00,18/01/2025 05:56:00
TG0022,Udon Thani,Bangkok,kaningpom jet,On Time,89,872,3344,11581,07/01/2025 14:54:00,07/01/2025 15:57:00
TG0023,Phuket,Bangkok,PhraoAirAsia,On Time,108,915,3153,8674,20/01/2025 01:08:00,20/01/2025 02:17:00
TG0024,Krabi,Bangkok,PhraoAirAsia,Delayed,66,1231,3842,9247,14/01/2025 13:05:00,14/01/2025 14:03:00
TG0025,Chiang Mai,Bangkok,Thai Meow Air,Delayed,50,1248,4912,7730,09/01/2025 08:36:00,09/01/2025 09:59:00
TG0026,Bangkok,Chiang Mai,PhraoAirAsia,Cancelled,182,899,2363,6267,01/01/2025 08:32:00,01/01/2025 09:56:00
TG0027,Surat Thani,Krabi,PhraoAirAsia,Cancelled,179,977,3019,7929,21/12/2024 19:26:00,21/12/2024 20:45:00
TG0028,Chiang Rai,Bangkok,kaningpom jet,Delayed,99,1459,2466,8856,05/01/2025 09:26:00,05/01/2025 10:46:00
TG0029,Chiang Mai,Phuket,Porsche Air,On Time,179,947,4386,10022,05/01/2025 07:55:00,05/01/2025 09:14:00
TG0030,Chiang Mai,Bangkok,kaningpom jet,On Time,64,1223,2697,6947,19/12/2024 05:16:00,19/12/2024 06:14:00
TG0031,Surat Thani,Bangkok,MJ Airways,Delayed,85,1088,2911,10143,05/01/2025 11:43:00,05/01/2025 13:20:00
TG0032,Chiang Rai,Koh Samui,kaningpom jet,Delayed,182,1065,3307,6772,03/01/2025 21:57:00,03/01/2025 23:12:00
TG0033,Chiang Rai,Koh Samui,kaningpom jet,On Time,133,1497,4264,9569,15/01/2025 15:50:00,15/01/2025 17:22:00
TG0034,Udon Thani,Chiang Rai,Porsche Air,Delayed,196,1439,2313,10742,24/01/2025 22:41:00,24/01/2025 23:26:00
TG0035,Surat Thani,Chiang Mai,MJ Airways,Delayed,81,1344,4874,9446,29/01/2025 14:40:00,29/01/2025 15:29:00
TG0036,Phuket,Bangkok,MJ Airways,Delayed,157,1343,4264,9500,16/01/2025 02:06:00,16/01/2025 03:49:00
TG0038,Chiang Mai,Koh Samui,MJ Airways,On Time,189,1044,3996,6492,05/01/2025 06:59:00,05/01/2025 07:45:00
TG0039,Bangkok,Hat Yai,Thai Meow Air,Cancelled,190,951,4317,9813,06/01/2025 05:51:00,06/01/2025 06:41:00
TG0042,Phuket,Bangkok,Porsche Air,Delayed,192,1475,3938,10114,25/01/2025 01:55:00,25/01/2025 02:54:00
TG0044,Surat Thani,Bangkok,PhraoAirAsia,Delayed,199,1310,2078,11122,08/12/2024 12:56:00,08/12/2024 14:33:00
TG0045,Koh Samui,Krabi,MJ Airways,Delayed,101,1259,3812,8245,06/12/2024 03:14:00,06/12/2024 04:42:00
TG0046,Chiang Mai,Bangkok,Thai Meow Air,Delayed,131,983,3607,6505,30/01/2025 18:51:00,30/01/2025 20:15:00
TG0047,Krabi,Phuket,MJ Airways,Cancelled,131,828,3719,7253,12/01/2025 09:22:00,12/01/2025 10:42:00
